Topic_ID,Topic_Keywords,Ticker,Company_Name,Relevance_Score,Mentions,Mentioned_As,Day_Trade_Score,Day_Trade_Rating,Swing_Trade_Score,Swing_Trade_Rating,Position_Trade_Score,Position_Trade_Rating,LongTerm_Score,LongTerm_Rating,Current_Price,Change_1D,Change_1W,Change_1M,Change_3M,Change_1Y,Volume_Spike_Ratio,RSI_14,Price_vs_MA50,Price_vs_MA200,PE_Ratio,PEG_Ratio,Dividend_Yield,Profit_Margin,ROE
0,"quantum, computer, system, computing, technology, qubit, physics, university, quantum computing, time",A,"Agilent Technologies, Inc.",1.310,779,a (779x),0.3129949820389022,📊 CHOPPY,0.7481814512361279,📈 BULLISH SETUP,0.762041541669024,💎 STRONG BUY,0.7375,👍 GOOD,148.03,0.39,3.52,21.69,23.42,14.63,0.80,65.1,13.80,20.35,34.51,,67.00,17.97,19.88
0,"quantum, computer, system, computing, technology, qubit, physics, university, quantum computing, time",QMCO,Quantum Corporation,1.163,593,quantum (593x),0.5610169110201295,⚡ VOLATILE,0.6534792373093872,📈 BULLISH SETUP,0.48296414083625994,⚠️ CAUTION,0.5,⚠️ BELOW AVERAGE,10.46,2.05,1.06,8.73,17.79,110.89,1.07,42.9,11.48,-17.27,,,,-42.24,
0,"quantum, computer, system, computing, technology, qubit, physics, university, quantum computing, time",S,"SentinelOne, Inc.",1.069,329,s (329x),0.4593520656816932,⚡ VOLATILE,0.4073343006598474,⚠️ MIXED SIGNALS,0.3065799518336406,❌ SELL/AVOID,0.6125,✋ FAIR,17.65,1.61,2.98,-2.70,-9.76,-32.79,0.98,47.3,-0.27,-7.27,,,,-47.32,-27.33
0,"quantum, computer, system, computing, technology, qubit, physics, university, quantum computing, time",YOU,"Clear Secure, Inc.",1.041,92,you (92x),0.2588783111121079,🛑 AVOID,0.4087019769070004,⚠️ MIXED SIGNALS,0.698815299879367,✅ BUY,0.7375,👍 GOOD,31.30,-3.45,-1.32,-14.01,5.64,-9.25,1.57,51.6,-8.80,11.67,19.94,,154.00,21.17,130.19
0,"quantum, computer, system, computing, technology, qubit, physics, university, quantum computing, time",D,"Dominion Energy, Inc.",0.979,54,d (54x),0.2749247839951157,🛑 AVOID,0.6563232431876836,📈 BULLISH SETUP,0.7061146979199396,✅ BUY,0.6849999999999999,👍 GOOD,61.06,0.63,-0.63,2.33,5.13,7.37,1.02,46.2,1.40,9.08,20.15,,440.00,16.96,9.14
0,"quantum, computer, system, computing, technology, qubit, physics, university, quantum computing, time",NOW,"ServiceNow, Inc.",0.929,40,now (40x),0.2804151896463428,🛑 AVOID,0.6645878710505353,📈 BULLISH SETUP,0.456629101037455,⚠️ CAUTION,0.6575000000000001,👍 GOOD,930.17,-0.96,1.38,1.26,-3.99,-2.17,0.98,54.8,1.50,-1.20,117.59,,,13.78,16.95
0,"quantum, computer, system, computing, technology, qubit, physics, university, quantum computing, time",WAVE,Eco Wave Power Global AB (publ),0.908,39,wave (39x),0.2611830776584425,🛑 AVOID,0.23774646310466635,🔻 DOWNTREND,0.5096669895031691,👍 HOLD,0.55,✋ FAIR,8.01,-0.12,-0.62,-8.67,-12.41,-12.93,1.03,60.0,-3.21,7.10,,,,,-44.54
0,"quantum, computer, system, computing, technology, qubit, physics, university, quantum computing, time",T,AT&T Inc.,0.898,57,t (57x),0.33962303890552503,📊 CHOPPY,0.2621190225427139,🔻 DOWNTREND,0.5810345248975949,👍 HOLD,0.7425,👍 GOOD,25.14,2.11,-3.68,-10.21,-9.25,20.32,0.90,44.3,-9.32,-5.32,8.03,,451.00,17.87,19.14
0,"quantum, computer, system, computing, technology, qubit, physics, university, quantum computing, time",J,Jacobs Solutions Inc.,0.897,21,j (21x),0.372059812046209,📊 CHOPPY,0.7807970069824776,🎯 STRONG UPTREND,0.688600082332736,✅ BUY,0.65,✋ FAIR,159.59,-0.73,-1.83,9.10,11.49,15.53,1.51,55.3,6.00,19.18,41.13,,80.00,4.16,8.42
0,"quantum, computer, system, computing, technology, qubit, physics, university, quantum computing, time",FORM,"FormFactor, Inc.",0.888,14,form (14x),0.3953316734259365,📊 CHOPPY,0.8076793249702815,🎯 STRONG UPTREND,0.6117586811098344,👍 HOLD,0.47500000000000003,⚠️ BELOW AVERAGE,43.17,0.77,-2.22,21.26,26.64,-3.62,1.04,51.7,24.18,28.81,75.74,,,5.75,4.53
0,"quantum, computer, system, computing, technology, qubit, physics, university, quantum computing, time",NEXT,NextDecade Corporation,0.878,28,next (28x),0.18244011276536365,🛑 AVOID,0.08476803380346687,🔻 DOWNTREND,0.27684298382876266,❌ SELL/AVOID,0.45,⚠️ BELOW AVERAGE,5.83,-0.17,-5.05,-15.14,-48.50,-0.68,0.81,16.0,-26.03,-30.04,,,,,-14.47
0,"quantum, computer, system, computing, technology, qubit, physics, university, quantum computing, time",G,Genpact Limited,0.871,13,g (13x),0.2148800039191297,🛑 AVOID,0.23476593581477911,🔻 DOWNTREND,0.5112665304733712,👍 HOLD,0.8175,⭐ EXCELLENT,39.49,-0.73,-0.93,-5.50,-12.88,4.52,0.94,34.7,-6.41,-13.09,13.12,,172.00,10.92,21.86
0,"quantum, computer, system, computing, technology, qubit, physics, university, quantum computing, time",GM,General Motors Company,0.869,42,gm (41x); general motors (1x),0.6178753947083253,⚡ VOLATILE,0.7024999999999999,📈 BULLISH SETUP,0.892619941923599,💎 STRONG BUY,0.605,✋ FAIR,69.66,4.20,20.10,14.97,30.79,35.20,0.64,79.0,18.07,35.36,12.76,,90.00,1.62,4.44
0,"quantum, computer, system, computing, technology, qubit, physics, university, quantum computing, time",TWO,Two Harbors Investment Corp.,0.869,54,two (54x),0.3197398830040894,📊 CHOPPY,0.6399673968344511,👀 CONSOLIDATING,0.4126483190454386,⚠️ CAUTION,0.53,✋ FAIR,9.82,0.51,1.13,3.60,-2.75,-11.93,0.92,55.1,1.51,-6.68,,,1660.00,-116.34,-14.69
0,"quantum, computer, system, computing, technology, qubit, physics, university, quantum computing, time",LAB,Standard BioTools Inc.,0.865,9,lab (9x),0.45957312834358094,⚡ VOLATILE,0.7153096656991845,📈 BULLISH SETUP,0.5746525694144352,👍 HOLD,0.53,✋ FAIR,1.42,2.90,10.94,10.08,1.43,-15.48,0.67,58.9,8.55,12.05,,,,-69.95,-29.54
